Name,Geographic Level,,,,,,,
National Capital Region (NCR),Reg,,,,,,,
City of Caloocan,City,,,,,,,
Barangay 1,Bgy,,,,,,,
Barangay 2,Bgy,,,,,,,
Barangay 3,Bgy,,,,,,,
Barangay 4,Bgy,,,,,,,
Barangay 5,Bgy,,,,,,,
Barangay 6,Bgy,,,,,,,
Barangay 7,Bgy,,,,,,,
Barangay 8,Bgy,,,,,,,
Barangay 9,Bgy,,,,,,,
Barangay 10,Bgy,,,,,,,
Barangay 11,Bgy,,,,,,,
Barangay 12,Bgy,,,,,,,
Barangay 13,Bgy,,,,,,,
Barangay 14,Bgy,,,,,,,
Barangay 15,Bgy,,,,,,,
Barangay 16,Bgy,,,,,,,
Barangay 17,Bgy,,,,,,,
Barangay 18,Bgy,,,,,,,
Barangay 19,Bgy,,,,,,,
Barangay 20,Bgy,,,,,,,
Barangay 21,Bgy,,,,,,,
Barangay 22,Bgy,,,,,,,
Barangay 23,Bgy,,,,,,,
Barangay 24,Bgy,,,,,,,
Barangay 25,Bgy,,,,,,,
Barangay 26,Bgy,,,,,,,
Barangay 27,Bgy,,,,,,,
Barangay 28,Bgy,,,,,,,
Barangay 29,Bgy,,,,,,,
Barangay 30,Bgy,,,,,,,
Barangay 31,Bgy,,,,,,,
Barangay 32,Bgy,,,,,,,
Barangay 33,Bgy,,,,,,,
Barangay 34,Bgy,,,,,,,
Barangay 35,Bgy,,,,,,,
Barangay 36,Bgy,,,,,,,
Barangay 37,Bgy,,,,,,,
Barangay 38,Bgy,,,,,,,
Barangay 39,Bgy,,,,,,,
Barangay 40,Bgy,,,,,,,
Barangay 41,Bgy,,,,,,,
Barangay 42,Bgy,,,,,,,
Barangay 43,Bgy,,,,,,,
Barangay 44,Bgy,,,,,,,
Barangay 45,Bgy,,,,,,,
Barangay 46,Bgy,,,,,,,
Barangay 47,Bgy,,,,,,,
Barangay 48,Bgy,,,,,,,
Barangay 49,Bgy,,,,,,,
Barangay 50,Bgy,,,,,,,
Barangay 51,Bgy,,,,,,,
Barangay 52,Bgy,,,,,,,
Barangay 53,Bgy,,,,,,,
Barangay 54,Bgy,,,,,,,
Barangay 55,Bgy,,,,,,,
Barangay 56,Bgy,,,,,,,
Barangay 57,Bgy,,,,,,,
Barangay 58,Bgy,,,,,,,
Barangay 59,Bgy,,,,,,,
Barangay 60,Bgy,,,,,,,
Barangay 61,Bgy,,,,,,,
Barangay 62,Bgy,,,,,,,
Barangay 63,Bgy,,,,,,,
Barangay 64,Bgy,,,,,,,
Barangay 65,Bgy,,,,,,,
Barangay 66,Bgy,,,,,,,
Barangay 67,Bgy,,,,,,,
Barangay 68,Bgy,,,,,,,
Barangay 69,Bgy,,,,,,,
Barangay 70,Bgy,,,,,,,
Barangay 71,Bgy,,,,,,,
Barangay 72,Bgy,,,,,,,
Barangay 73,Bgy,,,,,,,
Barangay 74,Bgy,,,,,,,
Barangay 75,Bgy,,,,,,,
Barangay 76,Bgy,,,,,,,
Barangay 77,Bgy,,,,,,,
Barangay 78,Bgy,,,,,,,
Barangay 79,Bgy,,,,,,,
Barangay 80,Bgy,,,,,,,
Barangay 81,Bgy,,,,,,,
Barangay 82,Bgy,,,,,,,
Barangay 83,Bgy,,,,,,,
Barangay 84,Bgy,,,,,,,
Barangay 85,Bgy,,,,,,,
Barangay 86,Bgy,,,,,,,
Barangay 87,Bgy,,,,,,,
Barangay 88,Bgy,,,,,,,
Barangay 89,Bgy,,,,,,,
Barangay 90,Bgy,,,,,,,
Barangay 91,Bgy,,,,,,,
Barangay 92,Bgy,,,,,,,
Barangay 93,Bgy,,,,,,,
Barangay 94,Bgy,,,,,,,
Barangay 95,Bgy,,,,,,,
Barangay 96,Bgy,,,,,,,
